AUDITORIA ESTRUCTURAL — Bloque A: foreign_keys
Generado: 2026-06-19T07:07:05.752Z
Filas: 229
================================================================================

column_name	foreign_column_name	foreign_table_name	table_name
entry_id	id	purchase_entries	purchase_entry_items
product_id	id	products	purchase_entry_items
uom_id	id	product_packaging	purchase_entry_items
item_id	id	inventory_items	purchase_order_items
order_id	id	purchase_orders	purchase_order_items
request_item_id	id	supply_request_items	purchase_order_items
created_by	id	profiles	purchase_orders
supplier_id	id	suppliers	purchase_orders
school_id	id	schools	purchase_visibility_delay
updated_by	id	profiles	purchase_visibility_delay
approved_by	id	profiles	recharge_requests
parent_id	id	profiles	recharge_requests
school_id	id	schools	recharge_requests
student_id	id	students	recharge_requests
transaction_id	id	transactions	recharge_requests
voided_by	id	profiles	recharge_requests
school_id	id	schools	reclamaciones
permission_id	id	permissions	role_permissions
cashier_id	id	profiles	sales
school_id	id	schools	sales
student_id	id	students	sales
teacher_id	id	teacher_profiles	sales
level_id	id	school_levels	school_classrooms
school_id	id	schools	school_classrooms
school_id	id	schools	school_levels
school_id	id	schools	school_prefixes
created_by	id	profiles	special_days
school_id	id	schools	special_days
student_a_id	id	students	student_links
student_b_id	id	students	student_links
student_id	id	students	student_relationships
classroom_id	id	school_classrooms	students
level_id	id	school_levels	students
parent_id	id	profiles	students
school_id	id	schools	students
item_id	id	inventory_items	supply_request_items
request_id	id	supply_requests	supply_request_items
processed_by	id	profiles	supply_requests
requested_by	id	profiles	supply_requests
requesting_school_id	id	schools	supply_requests
parent_id	id	profiles	support_tickets
student_id	id	students	support_tickets
school_id_1	id	schools	teacher_profiles
school_id_2	id	schools	teacher_profiles
profile_id	id	profiles	ticket_sequences
school_id	id	schools	ticket_sequences_by_school
product_id	id	products	transaction_items
transaction_id	id	transactions	transaction_items
billing_payment_id	id	billing_payments	transactions
cash_session_id	id	cash_sessions	transactions
invoice_id	id	invoices	transactions
payment_session_id	id	payment_sessions	transactions
school_id	id	schools	transactions
student_id	id	students	transactions
teacher_id	id	teacher_profiles	transactions
cash_session_id	id	cash_sessions	treasury_transfers
school_id	id	schools	treasury_transfers
permission_id	id	permissions	user_permissions
user_id	id	profiles	user_permissions
applied_to_session_id	id	payment_sessions	wallet_transactions
applied_to_tx_id	id	transactions	wallet_transactions
origin_lunch_order_id	id	lunch_orders	wallet_transactions
origin_transaction_id	id	transactions	wallet_transactions
student_id	id	students	wallet_transactions
school_id	id	schools	weekly_menus
